School_ID,Short_Name,Grade_Cat,Lat,Long
610227,WHITNEY,ES,41.84008043,-87.72554564
610228,WHITTIER,ES,41.85048089,-87.67339165
610392,WORLD LANGUAGE HS,HS,41.83439662,-87.73529222
610396,TARKINGTON,ES,41.76440708,-87.70644465
610203,MONARCAS ACADEMY,ES,41.78752323,-87.70817918
610206,TWAIN,ES,41.7990464,-87.7589284
610215,MADERO,ES,41.84095691,-87.70506426
610216,WALSH,ES,41.85483575,-87.64808617
610239,DALEY,ES,41.80234287,-87.6722064
610249,TALMAN,ES,41.79404805,-87.69026084
610291,LEE,ES,41.77530539,-87.72888429
610317,BRIGHTON PARK,ES,41.8239,-87.69207693
610319,EVERGREEN,ES,41.82935562,-87.66781651
610329,OROZCO,ES,41.85775481,-87.67521046
610352,DURKIN PARK,ES,41.73884394,-87.72995529
610353,CALMECA,ES,41.82437733,-87.71165364
610357,SPRY HS,HS,41.84776169,-87.69894611
610383,SOCIAL JUSTICE HS,HS,41.83350728,-87.73529947
610384,INFINITY HS,HS,41.83616882,-87.73527796
610385,MULTICULTURAL ARTS HS,HS,41.83528187,-87.7352833
610532,HERNANDEZ,ES,41.79347933,-87.71136992
610543,SOLORIO HS,HS,41.79520056,-87.71105882
610544,AZUELA,ES,41.77107907,-87.73992023
610559,SHIELDS MIDDLE,ES,41.80649141,-87.68977977
610563,BACK OF THE YARDS HS,HS,41.80841254,-87.67754137
610184,SPRY ES,ES,41.84774672,-87.70018447
610588,RICHARDSON,ES,41.78382632,-87.7254216
610589,SOR JUANA,ES,41.791464,-87.72447
400096,ROWE,ES,41.90779718,-87.66407247
609719,LAKE VIEW HS,HS,41.95476407,-87.66895269
609724,MATHER HS,HS,41.98758868,-87.7024964
609729,SCHURZ HS,HS,41.94636454,-87.73561211
609734,TAFT HS,HS,41.98296099,-87.79154725
609738,LINCOLN PARK HS,HS,41.91826831,-87.64600936
609995,HITCH,ES,41.9836717,-87.77912305
609749,NORTHSIDE PREP HS,HS,41.98131528,-87.7087078
609773,TUBMAN,ES,41.9341263,-87.65622867
609782,AUDUBON,ES,41.94506223,-87.68104105
609796,BEAUBIEN,ES,41.97239395,-87.75756504
609798,BELDING,ES,41.95893849,-87.73401973
609799,BELL,ES,41.9495298,-87.68601824
609803,BLAINE,ES,41.95078052,-87.66496784
609817,BUDLONG,ES,41.97575433,-87.69655603
609820,BURLEY,ES,41.93793747,-87.66985312
609828,BURR,ES,41.91235791,-87.6686606
609866,COONLEY,ES,41.9555532,-87.6837653
609896,DRUMMOND,ES,41.9159138,-87.6744946
609901,EDGEBROOK,ES,41.99943683,-87.76184047
609912,FARNSWORTH,ES,41.97979006,-87.76607166
609937,GARVY,ES,41.97635166,-87.79623511
610010,JAHN,ES,41.9392475,-87.67580972
610011,JAMIESON,ES,41.98464078,-87.70052942
610105,ORIOLE PARK,ES,41.97850138,-87.81205404
610111,PALMER,ES,41.97328939,-87.73921295
609963,HAMILTON,ES,41.94521966,-87.67086537
609974,HAWTHORNE,ES,41.94227549,-87.65770888
610029,LOZANO,ES,41.90888613,-87.66509327
610033,LASALLE,ES,41.91389953,-87.63756486
610038,LINCOLN,ES,41.92452482,-87.6444973
610059,MAYER,ES,41.92320352,-87.65728744
610070,MCPHERSON,ES,41.96784687,-87.67628825
610078,INTER-AMERICAN,ES,41.9490033,-87.65157334
610094,NETTELHORST,ES,41.94163655,-87.64456122
610095,NEWBERRY,ES,41.91394722,-87.64599025
610099,NORWOOD PARK,ES,41.98815251,-87.80297944
610104,ONAHAN,ES,41.99379035,-87.79310826
610127,PETERSON,ES,41.98155714,-87.71258258
610136,PRESCOTT,ES,41.9288411,-87.6695275
610137,PRUSSING,ES,41.96561907,-87.77241417
610138,PULASKI,ES,41.91848628,-87.68380143
610141,RAVENSWOOD,ES,41.96074569,-87.67092242
610155,SAUGANASH,ES,41.99116925,-87.74595144
610182,SOLOMON,ES,41.99394233,-87.72404263
610230,WILDWOOD,ES,42.00749067,-87.77834486
610220,WATERS,ES,41.9643654,-87.69133251
610523,EDISON PARK,ES,41.99423795,-87.81377123
610524,ALCOTT HS,HS,41.93579456,-87.68056201
609774,ALCOTT ES,ES,41.92984985,-87.64641314
610101,OGDEN ES,ES,41.89997649,-87.62929657
610515,DISNEY II ES,ES,41.95046051,-87.73067838
609718,KENNEDY HS,HS,41.78996125,-87.78083976
609832,BYRNE,ES,41.79503097,-87.79154448
609849,CASSELL,ES,41.68734706,-87.70321549
609893,DORE,ES,41.77389882,-87.79935927
610016,KELLOGG,ES,41.72526344,-87.67723251
609960,HALE,ES,41.78019173,-87.77657871
610026,KINZIE,ES,41.78996463,-87.7794826
610082,MOUNT GREENWOOD,ES,41.69573386,-87.70580994
610084,KELLER,ES,41.69717033,-87.69727834
610195,SUTHERLAND,ES,41.71144507,-87.67682117
400044,KIPP - ASCEND,ES,41.85836974,-87.72107065
400059,NLCP - COLLINS HS,HS,41.86414584,-87.7006806
400146,KIPP - ACADEMY,ES,41.89181614,-87.74661384
609678,JONES HS,HS,41.87306592,-87.62767532
609680,PAYTON HS,HS,41.90157517,-87.63538477
609682,RICHARDS HS,HS,41.80288138,-87.66227785
609693,WESTINGHOUSE HS,HS,41.8899772,-87.70733231
609722,MANLEY HS,HS,41.87093896,-87.69989559
609723,MARSHALL HS,HS,41.87844409,-87.70805007
609735,TILDEN HS,HS,41.80751007,-87.64296648
609740,WELLS HS,HS,41.89899471,-87.66748287
609985,HEFFERAN,ES,41.87866465,-87.73580189
609986,HENDERSON,ES,41.79059129,-87.67188731
609987,HENDRICKS,ES,41.81578775,-87.63366448
609990,SOUTH LOOP,ES,41.85974068,-87.62834919
609991,HERZL,ES,41.8620813,-87.71899385
609997,HOLMES,ES,41.79378765,-87.64979536
609851,CHALMERS,ES,41.86643525,-87.69525937
609755,YOUNG HS,HS,41.87860253,-87.66423334
609759,CLEMENTE HS,HS,41.90262579,-87.68690615
609791,BASS,ES,41.77424645,-87.65353242
609793,NICHOLSON,ES,41.78494238,-87.64745284
609795,CLARK ES,ES,41.86781257,-87.77041753
609797,BEIDLER,ES,41.88532104,-87.70585481
609812,BROWN W,ES,41.88299678,-87.67068239
609818,BURBANK,ES,41.91759814,-87.78269957
609819,BURKE,ES,41.79675956,-87.61614052
609830,BRUNSON,ES,41.89766257,-87.76560566
609844,CARTER,ES,41.78982791,-87.62245275
609863,GINSBURG,ES,41.89956578,-87.68193805
609869,LANGFORD,ES,41.78468086,-87.65716921
609873,CROWN,ES,41.85266349,-87.71247015
609979,HEALY,ES,41.83959486,-87.64034075
609885,DEWEY,ES,41.79564568,-87.64265158
609894,DRAKE,ES,41.84404331,-87.62855345
609897,EARLE,ES,41.78122517,-87.67554666
609904,ELLINGTON,ES,41.88552958,-87.76658938
609907,ERICSON,ES,41.87574412,-87.71580443
609925,KELLMAN,ES,41.87016772,-87.7021629
609926,FRANKLIN,ES,41.90659999,-87.63551281
609929,FULTON,ES,41.79758027,-87.66843588
609941,RANDOLPH,ES,41.76061413,-87.67596551
609947,GRAHAM ES,ES,41.81330373,-87.64334424
609954,GREGORY,ES,41.87074216,-87.71866613
609959,HAINES,ES,41.84995832,-87.63380633
609975,HAY,ES,41.89917136,-87.75581325
610000,HOWE,ES,41.89361221,-87.75939839
610005,HUGHES C,ES,41.86051774,-87.73177739
610009,GALILEO,ES,41.87125482,-87.65336555
610107,OTIS,ES,41.89180608,-87.66542624
610108,OTOOLE,ES,41.77457107,-87.674865
610034,LAWNDALE,ES,41.86296002,-87.71295679
610036,LEWIS,ES,41.90682605,-87.75454995
610037,LIBBY,ES,41.79768483,-87.65993282
610043,LOVETT,ES,41.91271803,-87.78391885
610048,MANIERRE,ES,41.90824688,-87.63982651
610053,MARQUETTE,ES,41.77388108,-87.6970298
610055,FARADAY,ES,41.87971359,-87.70809202
610056,MASON,ES,41.8568637,-87.73167243
610060,CHICAGO WORLD LANGUAGE ACADEMY,ES,41.87429964,-87.66098467
610062,MINOSO,ES,41.82999286,-87.64110258
610067,MCKAY,ES,41.76814276,-87.6917865
610073,MITCHELL,ES,41.89208217,-87.68318459
610077,MORRILL,ES,41.78431328,-87.68854926
610081,SHERIDAN,ES,41.84440016,-87.64133981
610092,NASH,ES,41.89180975,-87.74793588
610121,IRVING,ES,41.87159549,-87.68361565
610123,PENN,ES,41.85837242,-87.72238555
610131,PLAMONDON,ES,41.8602589,-87.69252575
610133,WARD L,ES,41.89323561,-87.71879729
610158,SAYRE,ES,41.91415063,-87.79872071
610172,SHERMAN,ES,41.79976621,-87.65022145
610173,SHERWOOD,ES,41.79080024,-87.63227938
610177,SKINNER,ES,41.87910254,-87.65941898
610180,SMYTH,ES,41.86535102,-87.65344503
610183,SPENCER,ES,41.8848764,-87.75044473
610194,SUMNER,ES,41.87082838,-87.73352395
610197,TALCOTT,ES,41.89240461,-87.67372272
610229,PRITZKER,ES,41.90705301,-87.67776098
610231,NATIONAL TEACHERS,ES,41.85279977,-87.62930833
610391,LINDBLOM HS,HS,41.7820408,-87.67166185
610405,SUDER,ES,41.88321452,-87.67763611
610202,TILTON,ES,41.88410224,-87.73056638
610217,WARD J,ES,41.84398009,-87.63535579
610221,WEBSTER,ES,41.86991586,-87.72752437
610223,WENTWORTH,ES,41.7650759,-87.65820484
610235,YOUNG ES,ES,41.90679057,-87.76714285
610237,BEETHOVEN,ES,41.80913476,-87.62713681
610238,BOND,ES,41.76536057,-87.65301779
610244,CLARK HS,HS,41.87288501,-87.75332487
610245,DOUGLASS HS,HS,41.89036863,-87.76766846
610246,BEASLEY,ES,41.79846496,-87.62569158
610250,SALAZAR,ES,41.90141653,-87.63363243
610251,CATHER,ES,41.88294992,-87.69918701
610252,DETT,ES,41.87986982,-87.68031497
610254,DVORAK,ES,41.85888345,-87.71574357
610257,MORTON,ES,41.88917814,-87.70510783
610271,JENSEN,ES,41.87381495,-87.70224105
610274,JOHNSON,ES,41.86183619,-87.70313876
610276,MOLLISON,ES,41.81435828,-87.61661794
610282,MCNAIR,ES,41.89781907,-87.74673078
610293,MELODY,ES,41.87879893,-87.72466123
610304,PHOENIX MILITARY HS,HS,41.87911823,-87.68696022
610305,LELAND,ES,41.87358678,-87.74927555
610313,DE DIEGO,ES,41.90529385,-87.6857562
610334,RABY HS,HS,41.88621006,-87.71542312
610339,STAGG,ES,41.75892473,-87.64921669
610342,SABIN,ES,41.90681581,-87.68304994
610347,CLAREMONT,ES,41.77751051,-87.6810612
610367,DEPRIEST,ES,41.87797883,-87.76629755
610380,WILLIAMS HS,HS,41.8061176,-87.62502998
610381,BRONZEVILLE HS,HS,41.80520417,-87.62500447
610389,ORR HS,HS,41.89454672,-87.72665959
610499,COLLINS STEAM HS,HS,41.86414857,-87.70204159
610503,FRAZIER PROSPECTIVE,ES,41.86697963,-87.72724438
610513,AIR FORCE HS,HS,41.82814532,-87.63275698
610518,AUSTIN CCA HS,HS,41.88599329,-87.76191637
610520,LASALLE II,ES,41.90291446,-87.67369603
610521,DAVIS M,ES,41.77122111,-87.66652988
610529,OGDEN HS,HS,41.89354764,-87.65940468
610534,SKINNER NORTH,ES,41.90510912,-87.64484149
610548,STEM,ES,41.86857588,-87.66496913
